[Pathway Id]	[Pathway]	[Genes]	[Pathway Source]	
PWY-3097	superpathway of isoflavonoids (via naringenin)	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04375 | CNAG_04561 | CNAG_05149 | CNAG_07389	MetaCyc	
PWY-31	canavanine degradation	CNAG_03542 | CNAG_06272	MetaCyc	
PWY-3101	flavonol biosynthesis	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	MetaCyc	
PWY-3121	linamarin degradation	CNAG_02588 | CNAG_04104 | CNAG_05369 | CNAG_06931 | CNAG_06936 | CNAG_06985 | CNAG_07600	MetaCyc	
PWY-3161	indole-3-acetate biosynthesis III (bacteria)	CNAG_02365 | CNAG_06218 | CNAG_06482	MetaCyc	
PWY-3162	L-tryptophan degradation V (side chain pathway)	CNAG_00038 | CNAG_00105 | CNAG_00141 | CNAG_00515 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01955 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02489 | CNAG_02553 | CNAG_02717 | CNAG_02903 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05029 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06010 | CNAG_06018 | CNAG_06027 | CNAG_06035 | CNAG_06764 | CNAG_07316 | CNAG_07745 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-3181	L-tryptophan degradation VI (via tryptamine)	CNAG_00966	MetaCyc	
PWY-321	cutin biosynthesis	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_00863 | CNAG_00993 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02475 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02996 | CNAG_03011 | CNAG_03019 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04264 | CNAG_04392 | CNAG_04485 | CNAG_04561 | CNAG_04657 | CNAG_04955 | CNAG_05029 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06010 | CNAG_06018 | CNAG_06027 | CNAG_06764 | CNAG_07389 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-3261	UDP-L-rhamnose biosynthesis	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-3282	superpathway of ammonia assimilation (plants)	CNAG_00457 | CNAG_00710	MetaCyc	
PWY-3341	L-proline biosynthesis III	CNAG_04990 | CNAG_05386 | CNAG_05899	MetaCyc	
PWY-3385	choline biosynthesis I	CNAG_03854	MetaCyc	
PWY-3461	L-tyrosine biosynthesis II	CNAG_06072	MetaCyc	
PWY-3462	L-phenylalanine biosynthesis II	CNAG_06072	MetaCyc	
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis	CNAG_06072	MetaCyc	
PWY-3502	superpathway of NAD biosynthesis in eukaryotes	CNAG_00800 | CNAG_01912 | CNAG_02779 | CNAG_02780 | CNAG_02793 | CNAG_02868 | CNAG_03396 | CNAG_04080 | CNAG_05120	MetaCyc	
PWY-3542	choline biosynthesis II	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-3561	choline biosynthesis III	CNAG_00424 | CNAG_02407 | CNAG_06812	MetaCyc	
PWY-3581	(<i>S</i>)-reticuline biosynthesis I	CNAG_00966 | CNAG_03808 | CNAG_03828 | CNAG_05676 | CNAG_05820 | CNAG_06555	MetaCyc	
PWY-361	phenylpropanoid biosynthesis	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00863 | CNAG_00993 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04355 | CNAG_04383 | CNAG_04561 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_07389 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-3621	&gamma;-butyrobetaine degradation	CNAG_00403	MetaCyc	
PWY-3641	L-carnitine degradation III	CNAG_04326 | CNAG_06374 | CNAG_06638	MetaCyc	
PWY-3661	glycine betaine degradation I	CNAG_04601	MetaCyc	
PWY-3661-1	glycine betaine degradation II (mammalian)	CNAG_04601	MetaCyc	
PWY-3722	glycine betaine biosynthesis II (Gram-positive bacteria)	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-3781	aerobic respiration I (cytochrome c)	CNAG_00254 | CNAG_00573 | CNAG_00978 | CNAG_01287 | CNAG_01321 | CNAG_01323 | CNAG_01451 | CNAG_01470 | CNAG_01799 | CNAG_01991 | CNAG_02140 | CNAG_02315 | CNAG_02443 | CNAG_02833 | CNAG_02938 | CNAG_03226 | CNAG_03359 | CNAG_03544 | CNAG_03629 | CNAG_03861 | CNAG_04189 | CNAG_04378 | CNAG_04612 | CNAG_04739 | CNAG_05132 | CNAG_05197 | CNAG_05434 | CNAG_05633 | CNAG_05839 | CNAG_05909 | CNAG_06138 | CNAG_06147 | CNAG_06180 | CNAG_06663 | CNAG_07356 | CNAG_09000 | CNAG_09004 | CNAG_09005 | CNAG_09006 | CNAG_09007 | CNAG_09009 | CNAG_09011 | CNAG_09012	MetaCyc	
PWY-3801	sucrose degradation II (sucrose synthase)	CNAG_02748 | CNAG_03916 | CNAG_06313	MetaCyc	
PWY-381	nitrate reduction II (assimilatory)	CNAG_00457 | CNAG_00710	MetaCyc	
PWY-3821	D-galactose degradation III	CNAG_00697 | CNAG_00831 | CNAG_03096 | CNAG_03532 | CNAG_03946 | CNAG_06050 | CNAG_06051	MetaCyc	
PWY-3841	folate transformations II	CNAG_00589 | CNAG_00760 | CNAG_04601 | CNAG_04692 | CNAG_04764 | CNAG_05140 | CNAG_07746	MetaCyc	
PWY-3861	mannitol degradation II	CNAG_04312 | CNAG_04744	MetaCyc	
PWY-3881	mannitol biosynthesis	CNAG_04312 | CNAG_04744	MetaCyc	
PWY-3941	&beta;-alanine biosynthesis II	CNAG_00311	MetaCyc	
PWY-3961	phosphopantothenate biosynthesis II	CNAG_02866	MetaCyc	
PWY-3981	&beta;-alanine biosynthesis I	CNAG_05029 | CNAG_06010 | CNAG_06018	MetaCyc	
PWY-40	putrescine biosynthesis I	CNAG_01231	MetaCyc	
PWY-4002	L-asparagine degradation II	CNAG_00002 | CNAG_00343 | CNAG_01044 | CNAG_02006 | CNAG_02085 | CNAG_02226 | CNAG_03170 | CNAG_03743 | CNAG_04866 | CNAG_05396 | CNAG_07712	MetaCyc	
PWY-4021	&beta;-alanine betaine biosynthesis	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-4041	&gamma;-glutamyl cycle	CNAG_01026 | CNAG_01763 | CNAG_01764 | CNAG_02464 | CNAG_02888 | CNAG_03128 | CNAG_04647 | CNAG_06300 | CNAG_06872 | CNAG_06873	MetaCyc	
PWY-4061	glutathione-mediated detoxification I	CNAG_00921 | CNAG_01874 | CNAG_01889 | CNAG_01893 | CNAG_04110 | CNAG_06238	MetaCyc	
PWY-4081	glutathione-peroxide redox reactions	CNAG_02399 | CNAG_02503 | CNAG_06287	MetaCyc	
PWY-4101	D-sorbitol degradation I	CNAG_00115 | CNAG_00269 | CNAG_01949 | CNAG_04677 | CNAG_05658	MetaCyc	
PWY-4221	pantothenate and coenzyme A biosynthesis II (plants)	CNAG_00311 | CNAG_00909 | CNAG_02222 | CNAG_02738 | CNAG_02787 | CNAG_02866 | CNAG_03738 | CNAG_04599 | CNAG_05460 | CNAG_05744 | CNAG_07348 | CNAG_07414	MetaCyc	
PWY-4242	pantothenate and coenzyme A biosynthesis III	CNAG_00909 | CNAG_02222 | CNAG_02787 | CNAG_02866 | CNAG_03738 | CNAG_07348	MetaCyc	
PWY-4261	glycerol degradation I	CNAG_01155 | CNAG_02814 | CNAG_02815	MetaCyc	
PWY-4302	aerobic respiration III (alternative oxidase pathway)	CNAG_00254 | CNAG_00573 | CNAG_00978 | CNAG_01287 | CNAG_01321 | CNAG_01451 | CNAG_01470 | CNAG_02140 | CNAG_02443 | CNAG_02833 | CNAG_03226 | CNAG_03544 | CNAG_03629 | CNAG_04189 | CNAG_04378 | CNAG_04612 | CNAG_05197 | CNAG_05434 | CNAG_06138 | CNAG_06147 | CNAG_06180 | CNAG_07356 | CNAG_09000 | CNAG_09005 | CNAG_09006 | CNAG_09007 | CNAG_09011	MetaCyc	
PWY-4321	L-glutamate degradation IV	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_01076 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02366 | CNAG_02455 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02852 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04469 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05260 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	CNAG_04136 | CNAG_05273 | CNAG_05584	MetaCyc	
PWY-4381	fatty acid biosynthesis initiation I	CNAG_02099 | CNAG_02100 | CNAG_05759	MetaCyc	
PWY-4421	curcumin glucoside biosynthesis	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_05148 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07527	MetaCyc	
PWY-4502	wighteone and luteone biosynthesis	CNAG_04375 | CNAG_05149	MetaCyc	
PWY-4521	arsenite oxidation I (respiratory)	CNAG_01991 | CNAG_02938 | CNAG_03359 | CNAG_03861 | CNAG_04739 | CNAG_05132 | CNAG_05839 | CNAG_09004 | CNAG_09009 | CNAG_09012	MetaCyc	
PWY-46	putrescine biosynthesis III	CNAG_02876	MetaCyc	
PWY-4661	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	CNAG_01294 | CNAG_01539	MetaCyc	
PWY-4681	kievitone biosynthesis	CNAG_04375 | CNAG_05149	MetaCyc	
PWY-4702	phytate degradation I	CNAG_00263 | CNAG_00390 | CNAG_01744 | CNAG_01823 | CNAG_02109 | CNAG_02375 | CNAG_02681 | CNAG_03262 | CNAG_04475 | CNAG_05639 | CNAG_05692 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_07547 | CNAG_07740	MetaCyc	
PWY-4722	creatinine degradation II	CNAG_06935	MetaCyc	
PWY-4762	superpathway of choline biosynthesis	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00424 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02407 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03854 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06812 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-4801	aloesone biosynthesis I	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-4821	UDP-D-xylose biosynthesis	CNAG_03322 | CNAG_04969	MetaCyc	
PWY-4841	UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)	CNAG_06623	MetaCyc	
PWY-4922	6-methoxymellein biosynthesis	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-4942	sterculate biosynthesis	CNAG_01150 | CNAG_01475 | CNAG_03870 | CNAG_05302	MetaCyc	
PWY-4981	L-proline biosynthesis II (from arginine)	CNAG_02812 | CNAG_05899	MetaCyc	
PWY-4983	L-citrulline-nitric oxide cycle	CNAG_00930 | CNAG_02825	MetaCyc	
PWY-4984	urea cycle	CNAG_00930 | CNAG_02812 | CNAG_02825 | CNAG_03542 | CNAG_06272	MetaCyc	
PWY-5	canavanine biosynthesis	CNAG_00930 | CNAG_02825	MetaCyc	
PWY-5004	superpathway of L-citrulline metabolism	CNAG_00930 | CNAG_02048 | CNAG_02049 | CNAG_02812 | CNAG_02825 | CNAG_03542 | CNAG_04990 | CNAG_05386 | CNAG_06272	MetaCyc	
PWY-5005	biotin biosynthesis II	CNAG_06621	MetaCyc	
PWY-5022	4-aminobutanoate degradation V	CNAG_00879 | CNAG_01076 | CNAG_02366 | CNAG_02455 | CNAG_02852 | CNAG_03829 | CNAG_04469	MetaCyc	
PWY-5025	indole-3-acetate biosynthesis IV (bacteria)	CNAG_02365 | CNAG_06218 | CNAG_06482	MetaCyc	
PWY-5026	indole-3-acetate biosynthesis V (bacteria and fungi)	CNAG_00507	MetaCyc	
PWY-5030	L-histidine degradation III	CNAG_07746	MetaCyc	
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)	CNAG_00413 | CNAG_00968 | CNAG_01902 | CNAG_02979 | CNAG_03389 | CNAG_05622 | CNAG_06797 | CNAG_06876 | CNAG_07411 | CNAG_07748	MetaCyc	
PWY-5036	gibberellin biosynthesis II (early C-3 hydroxylation)	CNAG_00413 | CNAG_00968 | CNAG_01902 | CNAG_02979 | CNAG_03389 | CNAG_05622 | CNAG_06797 | CNAG_06876 | CNAG_07411 | CNAG_07748	MetaCyc	
PWY-5041	<i>S</i>-adenosyl-L-methionine cycle II	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00418 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_00886 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_01890 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-5044	purine nucleotides degradation I (plants)	CNAG_00441 | CNAG_06371 | CNAG_06617 | CNAG_07524	MetaCyc	
PWY-5046	2-oxoisovalerate decarboxylation to isobutanoyl-CoA	CNAG_00397 | CNAG_02284 | CNAG_07004	MetaCyc	
PWY-5047	gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	CNAG_00413 | CNAG_00863 | CNAG_00968 | CNAG_00993 | CNAG_01150 | CNAG_01902 | CNAG_02475 | CNAG_02979 | CNAG_02996 | CNAG_03389 | CNAG_03870 | CNAG_04264 | CNAG_04561 | CNAG_05622 | CNAG_06797 | CNAG_06876 | CNAG_07389 | CNAG_07411 | CNAG_07748	MetaCyc	
PWY-5048	rosmarinic acid biosynthesis I	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00863 | CNAG_00993 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_02475 | CNAG_02996 | CNAG_03808 | CNAG_03828 | CNAG_04264 | CNAG_04355 | CNAG_04383 | CNAG_04561 | CNAG_05023 | CNAG_05268 | CNAG_05676 | CNAG_05820 | CNAG_05851 | CNAG_06379 | CNAG_06555 | CNAG_07389 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-5052	superpathway of gibberellin biosynthesis	CNAG_00413 | CNAG_00968 | CNAG_01902 | CNAG_02979 | CNAG_03389 | CNAG_05622 | CNAG_06797 | CNAG_06876 | CNAG_07411 | CNAG_07748	MetaCyc	
PWY-5054	sorbitol biosynthesis I	CNAG_03916	MetaCyc	
PWY-5057	L-valine degradation II	CNAG_00038 | CNAG_00515 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_06035 | CNAG_06370 | CNAG_07316 | CNAG_07745	MetaCyc	
PWY-5059	pinobanksin biosynthesis	CNAG_00231 | CNAG_00259 | CNAG_00289 | CNAG_00365 | CNAG_00409 | CNAG_00434 | CNAG_00484 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01247 | CNAG_01416 | CNAG_01489 | CNAG_01546 | CNAG_01656 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03340 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04355 | CNAG_04383 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05023 | CNAG_05202 | CNAG_05217 | CNAG_05268 | CNAG_05672 | CNAG_05851 | CNAG_06022 | CNAG_06379 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-5060	luteolin biosynthesis	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	MetaCyc	
PWY-5061	6,7,4'-trihydroxyisoflavone biosynthesis	CNAG_00863 | CNAG_00993 | CNAG_01137 | CNAG_02475 | CNAG_02996 | CNAG_03427 | CNAG_03942 | CNAG_04264 | CNAG_04561 | CNAG_05376 | CNAG_07389 | CNAG_07908	MetaCyc	
PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	CNAG_00393 | CNAG_04621 | CNAG_05293	MetaCyc	
PWY-5070	gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)	CNAG_00413 | CNAG_00968 | CNAG_01902 | CNAG_02979 | CNAG_03389 | CNAG_05622 | CNAG_06797 | CNAG_06876 | CNAG_07411 | CNAG_07748	MetaCyc	
PWY-5071	superpathway of rosmarinic acid biosynthesis	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00863 | CNAG_00993 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_02475 | CNAG_02996 | CNAG_03808 | CNAG_03828 | CNAG_04264 | CNAG_04355 | CNAG_04383 | CNAG_04561 | CNAG_05023 | CNAG_05268 | CNAG_05676 | CNAG_05820 | CNAG_05851 | CNAG_06379 | CNAG_06555 | CNAG_07389 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-5074	mevalonate degradation	CNAG_03067	MetaCyc	
PWY-5076	L-leucine degradation III	CNAG_00038 | CNAG_00515 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_04659 | CNAG_06035 | CNAG_06370 | CNAG_07316 | CNAG_07745	MetaCyc	
PWY-5078	L-isoleucine degradation II	CNAG_00038 | CNAG_00515 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_06035 | CNAG_06370 | CNAG_07316 | CNAG_07745	MetaCyc	
PWY-5079	L-phenylalanine degradation III	CNAG_00038 | CNAG_00515 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_03808 | CNAG_03828 | CNAG_05820 | CNAG_06035 | CNAG_06555 | CNAG_07316 | CNAG_07745	MetaCyc	
PWY-5080	very long chain fatty acid biosynthesis I	CNAG_02487 | CNAG_03080 | CNAG_04488	MetaCyc	
PWY-5082	L-methionine degradation III	CNAG_00038 | CNAG_00515 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_06035 | CNAG_07316 | CNAG_07745	MetaCyc	
PWY-5083	NAD/NADH phosphorylation and dephosphorylation	CNAG_00146 | CNAG_00254 | CNAG_00263 | CNAG_00390 | CNAG_00573 | CNAG_00978 | CNAG_01287 | CNAG_01321 | CNAG_01451 | CNAG_01470 | CNAG_01744 | CNAG_02109 | CNAG_02140 | CNAG_02375 | CNAG_02443 | CNAG_02833 | CNAG_02859 | CNAG_02944 | CNAG_03031 | CNAG_03544 | CNAG_03629 | CNAG_04314 | CNAG_04316 | CNAG_04378 | CNAG_04475 | CNAG_04612 | CNAG_05197 | CNAG_05434 | CNAG_05639 | CNAG_05692 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_06138 | CNAG_06147 | CNAG_06180 | CNAG_06967 | CNAG_07547 | CNAG_07740 | CNAG_09000 | CNAG_09005 | CNAG_09006 | CNAG_09007 | CNAG_09011	MetaCyc	
PWY-5084	2-oxoglutarate decarboxylation to succinyl-CoA	CNAG_03596 | CNAG_03674 | CNAG_07004	MetaCyc	
PWY-5088	L-glutamate degradation VIII (to propanoate)	CNAG_01657 | CNAG_03225 | CNAG_03266 | CNAG_03829 | CNAG_05236	MetaCyc	
PWY-5094	naringenin glycoside biosynthesis	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_05148 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07527	MetaCyc	
PWY-5096	pyruvate fermentation to acetate and alanine	CNAG_03436	MetaCyc	
PWY-5097	L-lysine biosynthesis VI	CNAG_00256 | CNAG_04347	MetaCyc	
PWY-5100	pyruvate fermentation to acetate and lactate II	CNAG_06432	MetaCyc	
PWY-5101	L-isoleucine biosynthesis II	CNAG_00105 | CNAG_00141 | CNAG_00268 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05497 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06370 | CNAG_06421 | CNAG_06540 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-5103	L-isoleucine biosynthesis III	CNAG_00268 | CNAG_05497 | CNAG_05725 | CNAG_06370 | CNAG_06421 | CNAG_06540	MetaCyc	
PWY-5104	L-isoleucine biosynthesis IV	CNAG_00268 | CNAG_05497 | CNAG_06370 | CNAG_06421 | CNAG_06540	MetaCyc	
