Pathway Id	Map - Painted With Transformed Genes (new window)	Pathway	Unique Gene Count	Genes
ec00943	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00943?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00943 (decorated)</a>"""	Isoflavonoid biosynthesis	7	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	
ec00944	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00944?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00944 (decorated)</a>"""	Flavone and flavonol biosynthesis	18	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_04374 | CNAG_04394 | CNAG_05148 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07527	
ec00945	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00945?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00945 (decorated)</a>"""	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"	74	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00644 | CNAG_00690 | CNAG_00750 | CNAG_00863 | CNAG_00874 | CNAG_00993 | CNAG_01050 | CNAG_01104 | CNAG_01385 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02475 | CNAG_02583 | CNAG_02602 | CNAG_02715 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02871 | CNAG_02892 | CNAG_02907 | CNAG_02996 | CNAG_03068 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03832 | CNAG_03855 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04264 | CNAG_04320 | CNAG_04417 | CNAG_04447 | CNAG_04487 | CNAG_04561 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05148 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_05842 | CNAG_05881 | CNAG_06022 | CNAG_06501 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06644 | CNAG_06891 | CNAG_06918 | CNAG_06919 | CNAG_07389 | CNAG_07527	
ec00950	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00950?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00950 (decorated)</a>"""	Isoquinoline alkaloid biosynthesis	159	CNAG_00105 | CNAG_00131 | CNAG_00141 | CNAG_00161 | CNAG_00162 | CNAG_00231 | CNAG_00259 | CNAG_00289 | CNAG_00365 | CNAG_00409 | CNAG_00434 | CNAG_00472 | CNAG_00484 | CNAG_00690 | CNAG_00750 | CNAG_00836 | CNAG_00863 | CNAG_00874 | CNAG_00966 | CNAG_00984 | CNAG_00993 | CNAG_01097 | CNAG_01102 | CNAG_01104 | CNAG_01116 | CNAG_01247 | CNAG_01257 | CNAG_01416 | CNAG_01489 | CNAG_01542 | CNAG_01546 | CNAG_01558 | CNAG_01605 | CNAG_01615 | CNAG_01627 | CNAG_01656 | CNAG_01714 | CNAG_01772 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01981 | CNAG_02181 | CNAG_02182 | CNAG_02185 | CNAG_02295 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02473 | CNAG_02475 | CNAG_02478 | CNAG_02553 | CNAG_02577 | CNAG_02583 | CNAG_02692 | CNAG_02717 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02839 | CNAG_02840 | CNAG_02907 | CNAG_02933 | CNAG_02935 | CNAG_02958 | CNAG_02996 | CNAG_03011 | CNAG_03068 | CNAG_03194 | CNAG_03199 | CNAG_03272 | CNAG_03400 | CNAG_03410 | CNAG_03464 | CNAG_03465 | CNAG_03555 | CNAG_03623 | CNAG_03724 | CNAG_03754 | CNAG_03762 | CNAG_03776 | CNAG_03808 | CNAG_03828 | CNAG_03834 | CNAG_03863 | CNAG_03865 | CNAG_03874 | CNAG_03890 | CNAG_03983 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04112 | CNAG_04188 | CNAG_04195 | CNAG_04209 | CNAG_04229 | CNAG_04264 | CNAG_04355 | CNAG_04383 | CNAG_04392 | CNAG_04447 | CNAG_04471 | CNAG_04487 | CNAG_04521 | CNAG_04561 | CNAG_04571 | CNAG_04657 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_04955 | CNAG_05023 | CNAG_05024 | CNAG_05075 | CNAG_05090 | CNAG_05095 | CNAG_05202 | CNAG_05217 | CNAG_05268 | CNAG_05534 | CNAG_05672 | CNAG_05676 | CNAG_05820 | CNAG_05851 | CNAG_05979 | CNAG_06022 | CNAG_06026 | CNAG_06027 | CNAG_06074 | CNAG_06088 | CNAG_06169 | CNAG_06241 | CNAG_06360 | CNAG_06379 | CNAG_06520 | CNAG_06554 | CNAG_06555 | CNAG_06566 | CNAG_06570 | CNAG_06764 | CNAG_06815 | CNAG_06891 | CNAG_06919 | CNAG_07365 | CNAG_07389 | CNAG_07570 | CNAG_07782 | CNAG_07801 | CNAG_07865 | CNAG_07937 | CNAG_08017 | CNAG_08027	
ec00960	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00960?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00960 (decorated)</a>"""	"Tropane, piperidine and pyridine alkaloid biosynthesis"	43	CNAG_00005 | CNAG_00289 | CNAG_00331 | CNAG_00365 | CNAG_00484 | CNAG_00488 | CNAG_01247 | CNAG_01489 | CNAG_01512 | CNAG_01656 | CNAG_01836 | CNAG_02012 | CNAG_02312 | CNAG_02449 | CNAG_02893 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_03808 | CNAG_03812 | CNAG_03828 | CNAG_04152 | CNAG_04355 | CNAG_04383 | CNAG_04410 | CNAG_04869 | CNAG_05023 | CNAG_05075 | CNAG_05268 | CNAG_05676 | CNAG_05677 | CNAG_05820 | CNAG_05851 | CNAG_06026 | CNAG_06088 | CNAG_06379 | CNAG_06433 | CNAG_06504 | CNAG_06555 | CNAG_06922 | CNAG_07544 | CNAG_07570 | CNAG_07937	
ec00965	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00965?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00965 (decorated)</a>"""	Betalain biosynthesis	32	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00966 | CNAG_01050 | CNAG_01247 | CNAG_01385 | CNAG_01489 | CNAG_01656 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03238 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05148 | CNAG_05268 | CNAG_05851 | CNAG_05881 | CNAG_06379 | CNAG_06501 | CNAG_06918 | CNAG_07527 | CNAG_07570 | CNAG_07937	
ec00966	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00966?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00966 (decorated)</a>"""	Glucosinolate biosynthesis	50	CNAG_00105 | CNAG_00141 | CNAG_00644 | CNAG_00836 | CNAG_00863 | CNAG_00993 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02475 | CNAG_02478 | CNAG_02553 | CNAG_02602 | CNAG_02717 | CNAG_02996 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04264 | CNAG_04392 | CNAG_04417 | CNAG_04561 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05842 | CNAG_05979 | CNAG_06027 | CNAG_06036 | CNAG_06370 | CNAG_06644 | CNAG_06764 | CNAG_07389 | CNAG_07782 | CNAG_07801	
ec00970	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00970?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00970 (decorated)</a>"""	Aminoacyl-tRNA biosynthesis	33	CNAG_00007 | CNAG_00084 | CNAG_00143 | CNAG_00238 | CNAG_01305 | CNAG_01382 | CNAG_01435 | CNAG_01522 | CNAG_01544 | CNAG_01894 | CNAG_02123 | CNAG_02418 | CNAG_02763 | CNAG_03457 | CNAG_03563 | CNAG_04082 | CNAG_04179 | CNAG_04604 | CNAG_04800 | CNAG_04896 | CNAG_05722 | CNAG_05827 | CNAG_05900 | CNAG_05978 | CNAG_06123 | CNAG_06441 | CNAG_06713 | CNAG_06755 | CNAG_06763 | CNAG_07400 | CNAG_07429 | CNAG_07473 | CNAG_07563	
ec00980	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00980?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00980 (decorated)</a>"""	Metabolism of xenobiotics by cytochrome P450	25	CNAG_00012 | CNAG_00038 | CNAG_00515 | CNAG_00863 | CNAG_00921 | CNAG_00993 | CNAG_01874 | CNAG_01889 | CNAG_01893 | CNAG_01955 | CNAG_02052 | CNAG_02475 | CNAG_02489 | CNAG_02903 | CNAG_02996 | CNAG_04110 | CNAG_04264 | CNAG_04561 | CNAG_06035 | CNAG_06238 | CNAG_06497 | CNAG_06529 | CNAG_07316 | CNAG_07389 | CNAG_07745	
ec00981	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00981?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00981 (decorated)</a>"""	Insect hormone biosynthesis	134	CNAG_00105 | CNAG_00131 | CNAG_00141 | CNAG_00161 | CNAG_00162 | CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00472 | CNAG_00644 | CNAG_00690 | CNAG_00750 | CNAG_00836 | CNAG_00874 | CNAG_00984 | CNAG_01097 | CNAG_01102 | CNAG_01104 | CNAG_01116 | CNAG_01257 | CNAG_01416 | CNAG_01542 | CNAG_01546 | CNAG_01558 | CNAG_01605 | CNAG_01615 | CNAG_01627 | CNAG_01714 | CNAG_01772 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01981 | CNAG_02181 | CNAG_02182 | CNAG_02185 | CNAG_02295 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02577 | CNAG_02583 | CNAG_02602 | CNAG_02692 | CNAG_02717 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02839 | CNAG_02840 | CNAG_02907 | CNAG_02933 | CNAG_02935 | CNAG_02958 | CNAG_03011 | CNAG_03068 | CNAG_03194 | CNAG_03199 | CNAG_03272 | CNAG_03400 | CNAG_03410 | CNAG_03464 | CNAG_03465 | CNAG_03555 | CNAG_03623 | CNAG_03724 | CNAG_03754 | CNAG_03762 | CNAG_03776 | CNAG_03834 | CNAG_03863 | CNAG_03865 | CNAG_03874 | CNAG_03890 | CNAG_03983 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04112 | CNAG_04188 | CNAG_04195 | CNAG_04209 | CNAG_04229 | CNAG_04392 | CNAG_04417 | CNAG_04447 | CNAG_04471 | CNAG_04487 | CNAG_04521 | CNAG_04571 | CNAG_04657 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_04955 | CNAG_05024 | CNAG_05090 | CNAG_05095 | CNAG_05202 | CNAG_05217 | CNAG_05534 | CNAG_05672 | CNAG_05842 | CNAG_05979 | CNAG_06022 | CNAG_06027 | CNAG_06074 | CNAG_06169 | CNAG_06241 | CNAG_06360 | CNAG_06520 | CNAG_06554 | CNAG_06566 | CNAG_06570 | CNAG_06644 | CNAG_06764 | CNAG_06815 | CNAG_06891 | CNAG_06919 | CNAG_07365 | CNAG_07782 | CNAG_07801 | CNAG_07865 | CNAG_08017 | CNAG_08027	
ec00982	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00982?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00982 (decorated)</a>"""	Drug metabolism - cytochrome P450	23	CNAG_00038 | CNAG_00515 | CNAG_00541 | CNAG_00863 | CNAG_00921 | CNAG_00993 | CNAG_01478 | CNAG_01874 | CNAG_01889 | CNAG_01893 | CNAG_01955 | CNAG_02475 | CNAG_02489 | CNAG_02903 | CNAG_02996 | CNAG_04110 | CNAG_04264 | CNAG_04561 | CNAG_06035 | CNAG_06238 | CNAG_07316 | CNAG_07389 | CNAG_07745	
ec00983	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec00983?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec00983 (decorated)</a>"""	Drug metabolism - other enzymes	37	CNAG_00142 | CNAG_00316 | CNAG_00441 | CNAG_00576 | CNAG_00839 | CNAG_00863 | CNAG_00993 | CNAG_01095 | CNAG_01877 | CNAG_02161 | CNAG_02337 | CNAG_02344 | CNAG_02417 | CNAG_02475 | CNAG_02546 | CNAG_02798 | CNAG_02862 | CNAG_02881 | CNAG_02996 | CNAG_03069 | CNAG_03213 | CNAG_03361 | CNAG_03367 | CNAG_04264 | CNAG_04374 | CNAG_04394 | CNAG_04561 | CNAG_04690 | CNAG_05083 | CNAG_05906 | CNAG_06173 | CNAG_06560 | CNAG_06655 | CNAG_06903 | CNAG_06910 | CNAG_07389 | CNAG_07968	
ec01040	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec01040?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec01040 (decorated)</a>"""	Biosynthesis of unsaturated fatty acids	12	CNAG_00490 | CNAG_00688 | CNAG_01150 | CNAG_02487 | CNAG_02969 | CNAG_03080 | CNAG_03455 | CNAG_03870 | CNAG_04488 | CNAG_04531 | CNAG_05730 | CNAG_07747	
ec01051	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec01051?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec01051 (decorated)</a>"""	Biosynthesis of ansamycins	63	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01050 | CNAG_01104 | CNAG_01385 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02715 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02871 | CNAG_02892 | CNAG_02907 | CNAG_03068 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03832 | CNAG_03855 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04320 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05148 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_05881 | CNAG_06022 | CNAG_06501 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06918 | CNAG_06919 | CNAG_07445 | CNAG_07527	
ec01053	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec01053?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec01053 (decorated)</a>"""	Biosynthesis of siderophore group nonribosomal peptides	43	CNAG_00178 | CNAG_00437 | CNAG_00677 | CNAG_00855 | CNAG_01143 | CNAG_01217 | CNAG_01251 | CNAG_01692 | CNAG_01733 | CNAG_01746 | CNAG_01885 | CNAG_02122 | CNAG_02172 | CNAG_02216 | CNAG_02219 | CNAG_02385 | CNAG_03149 | CNAG_03376 | CNAG_03527 | CNAG_03607 | CNAG_03698 | CNAG_03807 | CNAG_03823 | CNAG_03839 | CNAG_04159 | CNAG_04303 | CNAG_04328 | CNAG_04668 | CNAG_04724 | CNAG_04742 | CNAG_05034 | CNAG_05195 | CNAG_05355 | CNAG_05359 | CNAG_05469 | CNAG_05537 | CNAG_05896 | CNAG_06223 | CNAG_06376 | CNAG_06639 | CNAG_06892 | CNAG_07506 | CNAG_07769	
ec01056	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec01056?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec01056 (decorated)</a>"""	Biosynthesis of type II polyketide backbone	55	CNAG_00105 | CNAG_00141 | CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01137 | CNAG_01247 | CNAG_01257 | CNAG_01489 | CNAG_01558 | CNAG_01615 | CNAG_01656 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03427 | CNAG_03942 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04355 | CNAG_04383 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05023 | CNAG_05095 | CNAG_05268 | CNAG_05376 | CNAG_05534 | CNAG_05851 | CNAG_05979 | CNAG_06027 | CNAG_06379 | CNAG_06764 | CNAG_07570 | CNAG_07782 | CNAG_07801 | CNAG_07908 | CNAG_07937	
ec01057	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/KEGG/ec01057?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ec01057 (decorated)</a>"""	Biosynthesis of type II polyketide products	164	CNAG_00105 | CNAG_00131 | CNAG_00141 | CNAG_00161 | CNAG_00162 | CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00472 | CNAG_00644 | CNAG_00690 | CNAG_00750 | CNAG_00836 | CNAG_00863 | CNAG_00874 | CNAG_00984 | CNAG_00993 | CNAG_01050 | CNAG_01097 | CNAG_01102 | CNAG_01104 | CNAG_01116 | CNAG_01137 | CNAG_01257 | CNAG_01385 | CNAG_01416 | CNAG_01542 | CNAG_01546 | CNAG_01558 | CNAG_01605 | CNAG_01615 | CNAG_01627 | CNAG_01714 | CNAG_01772 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01981 | CNAG_02181 | CNAG_02182 | CNAG_02185 | CNAG_02295 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02473 | CNAG_02475 | CNAG_02478 | CNAG_02553 | CNAG_02577 | CNAG_02583 | CNAG_02602 | CNAG_02692 | CNAG_02715 | CNAG_02717 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02839 | CNAG_02840 | CNAG_02841 | CNAG_02871 | CNAG_02892 | CNAG_02907 | CNAG_02933 | CNAG_02935 | CNAG_02958 | CNAG_02996 | CNAG_03011 | CNAG_03068 | CNAG_03113 | CNAG_03158 | CNAG_03194 | CNAG_03199 | CNAG_03272 | CNAG_03400 | CNAG_03410 | CNAG_03427 | CNAG_03464 | CNAG_03465 | CNAG_03555 | CNAG_03623 | CNAG_03648 | CNAG_03724 | CNAG_03754 | CNAG_03762 | CNAG_03776 | CNAG_03832 | CNAG_03834 | CNAG_03855 | CNAG_03863 | CNAG_03865 | CNAG_03874 | CNAG_03890 | CNAG_03942 | CNAG_03983 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04112 | CNAG_04188 | CNAG_04195 | CNAG_04209 | CNAG_04229 | CNAG_04264 | CNAG_04320 | CNAG_04392 | CNAG_04417 | CNAG_04447 | CNAG_04471 | CNAG_04487 | CNAG_04521 | CNAG_04561 | CNAG_04571 | CNAG_04657 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_04955 | CNAG_05024 | CNAG_05090 | CNAG_05095 | CNAG_05148 | CNAG_05202 | CNAG_05217 | CNAG_05376 | CNAG_05534 | CNAG_05672 | CNAG_05842 | CNAG_05881 | CNAG_05979 | CNAG_06022 | CNAG_06027 | CNAG_06074 | CNAG_06169 | CNAG_06241 | CNAG_06360 | CNAG_06501 | CNAG_06520 | CNAG_06554 | CNAG_06566 | CNAG_06570 | CNAG_06644 | CNAG_06764 | CNAG_06815 | CNAG_06891 | CNAG_06908 | CNAG_06918 | CNAG_06919 | CNAG_07365 | CNAG_07389 | CNAG_07527 | CNAG_07782 | CNAG_07801 | CNAG_07865 | CNAG_07908 | CNAG_08017 | CNAG_08027	
1CMET2-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/1CMET2-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">1CMET2-PWY (decorated)</a>"""	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	7	CNAG_00589 | CNAG_00760 | CNAG_04601 | CNAG_04692 | CNAG_04764 | CNAG_05140 | CNAG_07746	
2ASDEG-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/2ASDEG-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">2ASDEG-PWY (decorated)</a>"""	orthanilate degradation	1	CNAG_03238	
4-HYDROXYMANDELATE-DEGRADATION-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/4-HYDROXYMANDELATE-DEGRADATION-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">4-HYDROXYMANDELATE-DEGRADATION-PWY (decorated)</a>"""	4-hydroxymandelate degradation	1	CNAG_03599	
4AMINOBUTMETAB-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/4AMINOBUTMETAB-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">4AMINOBUTMETAB-PWY (decorated)</a>"""	superpathway of 4-aminobutanoate degradation	5	CNAG_01076 | CNAG_02366 | CNAG_02455 | CNAG_02852 | CNAG_04469	
4TOLCARBDEG-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/4TOLCARBDEG-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">4TOLCARBDEG-PWY (decorated)</a>"""	4-toluenecarboxylate degradation	3	CNAG_05029 | CNAG_06010 | CNAG_06018	
ACETATEUTIL-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/ACETATEUTIL-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ACETATEUTIL-PWY (decorated)</a>"""	superpathway of acetate utilization and formation	2	CNAG_00797 | CNAG_06432	
ACETOACETATE-DEG-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/ACETOACETATE-DEG-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ACETOACETATE-DEG-PWY (decorated)</a>"""	acetoacetate degradation (to acetyl CoA)	2	CNAG_00524 | CNAG_02918	
ADENOSYLHOMOCYSCAT-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/ADENOSYLHOMOCYSCAT-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ADENOSYLHOMOCYSCAT-PWY (decorated)</a>"""	L-methionine salvage from L-homocysteine	1	CNAG_04826	
ALACAT2-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/ALACAT2-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ALACAT2-PWY (decorated)</a>"""	L-alanine degradation II (to D-lactate)	3	CNAG_00832 | CNAG_00879 | CNAG_03436	
ALANINE-DEG3-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/ALANINE-DEG3-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ALANINE-DEG3-PWY (decorated)</a>"""	L-alanine degradation III	1	CNAG_03436	
ALANINE-SYN2-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/ALANINE-SYN2-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ALANINE-SYN2-PWY (decorated)</a>"""	L-alanine biosynthesis II	1	CNAG_03436	
ALANINE-VALINESYN-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/ALANINE-VALINESYN-PWY?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">ALANINE-VALINESYN-PWY (decorated)</a>"""	L-alanine biosynthesis I	1	CNAG_06370	
ALL-CHORISMATE-PWY	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
